dataset,state,year,number_of_rows,column,noise_type,proportion
decennial_census,WI,2040,6019113,date_of_birth,copy_from_household_member,0.635448113368199
decennial_census,WV,2020,1853128,date_of_birth,copy_from_household_member,0.8199255529029835
decennial_census,WV,2030,1908405,date_of_birth,copy_from_household_member,0.7044584351854035
decennial_census,WV,2040,1904507,date_of_birth,copy_from_household_member,0.6479409106923734
decennial_census,WY,2020,626518,date_of_birth,copy_from_household_member,0.8053655282050954
decennial_census,WY,2030,704898,date_of_birth,copy_from_household_member,0.6742138578914963
decennial_census,WY,2040,737465,date_of_birth,copy_from_household_member,0.6127884035174551
decennial_census,AK,3000,2149553,date_of_birth,copy_from_household_member,0.7369727566615013
decennial_census,AL,3000,15118581,date_of_birth,copy_from_household_member,0.705076819048031
decennial_census,AR,3000,9275903,date_of_birth,copy_from_household_member,0.7020023818705305
decennial_census,AZ,3000,23661324,date_of_birth,copy_from_household_member,0.7073271554880023
